,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
209,210,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Friend or family member;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow",Pluralsight;Coursera,10,4,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,,,India,INR	Indian rupee,3000000.0,Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);Go;JavaScript;PHP;SQL;TypeScript,Cosmos DB;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;Render;Vercel,Cloudflare;Microsoft Azure;Netlify;Vercel,Deno;Next.js;Node.js;React;Ruby on Rails;Vue.js,Deno;Next.js;Node.js;Nuxt.js;Qwik;Ruby on Rails;Vue.js,Tauri,,Cargo;Docker;Nix;npm;NuGet;Pacman;Pip;pnpm;Vite;Webpack;Yarn,npm;pnpm;Vite,RubyMine;Visual Studio Code,Visual Studio Code,Android;Arch;ChromeOS;Cygwin;Debian;Fedora;iOS;iPadOS;MacOS;Other Linux-based;Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL),MacOS,GitHub Discussions;Jira,Asana,Cisco Webex Teams;Discord;Google Chat;Google Meet;IRC;Jitsi;Microsoft Teams;Signal;Skype;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Slack;Whatsapp,Bing AI;ChatGPT,ChatGPT,GitHub Copilot;Mintlify,GitHub Copilot,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Collectives on Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",,Yes,Favorable,Increase productivity,Somewhat distrust,Project planning;Debugging and getting help;Committing and reviewing code,Writing code;Documenting code;Testing code,Learning about a codebase;Deployment and monitoring;Collaborating with teammates ,,,,,,Yes,Individual contributor,3.0,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Microservices;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Financial Services,Appropriate in length,Neither easy nor difficult,36351.0
377,378,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,School or academic work,Some college/university study without earning a degree,"School (i.e., University, College, etc)",,,17,14,"Developer, full-stack","10,000 or more employees",I have some influence,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,2500000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Java;Python;SQL,Cassandra;Elasticsearch;MariaDB;Microsoft Access;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,MongoDB;MySQL;Oracle,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;Django;jQuery;Node.js;Spring Boot,Spring Boot,Apache Kafka;RabbitMQ;Spring Framework,Spring Framework,Ant;Gradle;Kubernetes;Make;Maven (build tool),Gradle;Kubernetes;Maven (build tool),Android Studio;Atom;Eclipse;IntelliJ IDEA;Nano;Netbeans;Notepad++;Sublime Text;TextMate;Vim;Visual Studio Code,IntelliJ IDEA;Notepad++,Fedora;MacOS;Other Linux-based;Ubuntu;Windows,Cygwin;Fedora;MacOS;Other Linux-based;Ubuntu;Windows,Confluence;Jira,Confluence;Jira,Cisco Webex Teams,Cisco Webex Teams,,,,,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",Might be to do formatting and keep the questions and answers readable and standard,"No, and I don't plan to",,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,30292.0
426,427,I agree,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media;Online Courses or Certification;Coding Bootcamp,,Udemy,12,8,Data scientist or machine learning specialist,I don’t know,I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,India,INR	Indian rupee,2000000.0,Python;R;Scala;SQL,Python,Dynamodb;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Snowflake;SQLite,MySQL;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Django;Flask;Play Framework,Django;FastAPI;Flask;Play Framework,NumPy;Pandas;RabbitMQ;Scikit-Learn,NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Pip,Pip,Jupyter Notebook/JupyterLab;Nano;Notepad++;PyCharm;RStudio;Vim,Jupyter Notebook/JupyterLab;PyCharm;Vim;Visual Studio Code,Ubuntu;Windows,Windows,Confluence;Markdown File,Markdown File,Cisco Webex Teams;Discord;Google Chat;Google Meet;Jitsi;Microsoft Teams;Signal;Skype;Slack;Whatsapp;Zoom,Microsoft Teams;Zoom,ChatGPT,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",I'd prefer solutions offered by Humans who have had faced similar situations/bugs.,"No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,8.0,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,3-5 times a week,60-120 minutes a day,60-120 minutes a day,DevOps function;Microservices,Healthcare,Appropriate in length,Neither easy nor difficult,24234.0
621,622,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Video-based Online Courses;Stack Overflow;Interactive tutorial,Udemy;Pluralsight,18,12,"Developer, full-stack","5,000 to 9,999 employees",I have little or no influence,,Start a free trial;Ask developers I know/work with,India,INR	Indian rupee,2172000.0,HTML/CSS;JavaScript;Python;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Firebase;Google Cloud,Angular;Express;Node.js,Angular;Express;Next.js;Node.js;React;Vue.js,Cordova,,Docker;Gradle,Docker,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code;WebStorm,Windows,Windows,Confluence;Jira,Confluence;Jira,Microsoft Teams;Zoom,Discord;Microsoft Teams;Slack;Zoom,ChatGPT,ChatGPT;Quora Poe,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat","Sometimes it is difficult to write Questions or Answers with code and other syntax, AI can help us to format it.","No, and I don't plan to",,,,,,,,,,,,Yes,Individual contributor,12.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Never,1-2 times a week,Never,Less than 15 minutes a day,15-30 minutes a day,Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,26318.0
744,745,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow",,8,4,"Developer, back-end","10,000 or more employees",I have little or no influence,,Start a free trial;Visit developer communities like Stack Overflow,India,INR	Indian rupee,2500000.0,Bash/Shell (all shells);C;C++;Dart;Java;Python,C;C++;Java;Python;Ruby;TypeScript,SQLite,MongoDB;PostgreSQL,Oracle Cloud Infrastructure (OCI),Vercel,Next.js,Django;Next.js,,,Docker;Maven (build tool),Docker;Maven (build tool),Android Studio;IntelliJ IDEA;Vim;Visual Studio Code,Android Studio;Visual Studio Code,Windows,MacOS;Other Linux-based,Confluence;Jira,Confluence;Jira,Slack;Zoom,Slack;Zoom,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat","can use for enhancing search experience, currently stackoverflow searching requires use of tech specific terminology and exhaustive read through all results, chatgpt type tool can improve","No, but I plan to soon",Very favorable,,Neither trust nor distrust,,,,,,,,,Yes,Individual contributor,5.0,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too short,Easy,30292.0
806,807,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,,13,6,DevOps specialist,2 to 9 employees,I have a great deal of influence,Investigate,Start a free trial,India,INR	Indian rupee,4000000.0,Bash/Shell (all shells);Dart;Python;SQL,Bash/Shell (all shells);Go;Python;SQL,MongoDB;MySQL;PostgreSQL;Redis,Clickhouse;Elasticsearch;PostgreSQL;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Netlify;Vercel;Vultr,Amazon Web Services (AWS);Microsoft Azure,Django;FastAPI;Flask,Django,Flutter;Keras;NumPy;Opencv;Pandas;RabbitMQ;React Native;TensorFlow;Torch/PyTorch,,Docker;Kubernetes;npm;Pip;Terraform,Docker;Kubernetes;Pip;Puppet;Terraform,Android Studio;PyCharm;Sublime Text;WebStorm,Goland;PyCharm;Sublime Text,Ubuntu,Ubuntu,GitHub Discussions;Linear;Notion,Basecamp;GitHub Discussions;Notion,Google Meet;Slack;Whatsapp;Zoom,Google Meet;Slack;Whatsapp,,,,,Stack Overflow,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat","I think the current ChatGPT bubble will burst soon. For StackOverflow, I think it can help in answering questions before a user posts them and if they are not happy with the response, the question can be posted. More like a site wide Q&A.","No, and I don't plan to",,,,,,,,,,,,Yes,People manager,6.0,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,3-5 times a week,3-5 times a week,60-120 minutes a day,60-120 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Other,Too long,Easy,48468.0
814,815,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",On the job training,,,3,2,Data or business analyst,"10,000 or more employees",I have some influence,Investigate,Start a free trial,India,INR	Indian rupee,3000000.0,Python,Python,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,,,,,,,,,Windows,Windows,,,Microsoft Teams,Microsoft Teams,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",I dunno,"No, but I plan to soon",Indifferent,,Somewhat trust,,,,,,,,,Yes,Individual contributor,10.0,Neither agree nor disagree,Neither agree nor disagree,,,,,,,Never,Never,,,,,,Too long,Easy,36351.0
982,983,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,Udemy;Coursera,18,11,"Developer, desktop or enterprise applications",100 to 499 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,India,INR	Indian rupee,4320000.0,Java;JavaScript;Python;SQL;TypeScript,C#;Go;Java;Kotlin;Python;Rust;SQL;TypeScript,H2;MySQL;Neo4J;Snowflake,BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;MySQL;Neo4J;PostgreSQL;Redis;Snowflake,,,Angular;Flask;Next.js;Node.js;React;Spring Boot,ASP.NET CORE;Deno;FastAPI;Flask;Node.js;Spring Boot,Apache Spark;Hadoop;Ktor;Quarkus;Spring Framework,.NET (5+) ;Apache Kafka;Apache Spark;Ktor;Quarkus;Spring Framework,Docker;Gradle;Kubernetes;Maven (build tool);npm;Pip,Docker;Gradle;Kubernetes;Maven (build tool);npm;Pip;Podman;Terraform;Vite,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;Visual Studio Code,Android Studio;DataGrip;Goland;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;Visual Studio Code;WebStorm,Android;Ubuntu;Windows,Ubuntu;Windows,Confluence;GitHub Discussions;Jira,Confluence;GitHub Discussions;Jira,Cisco Webex Teams;Microsoft Teams;Slack;Whatsapp;Zoom,Microsoft Teams;Slack;Whatsapp;Zoom,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Find existing questions or answers that are related quickly,"No, but I plan to soon",Favorable,,Somewhat distrust,,,,,,,,,Yes,Individual contributor,11.0,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,Less than 15 minutes a day,15-30 minutes a day,None of these,Other,Appropriate in length,Easy,52345.0
1042,1043,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,edX;Udemy;Coursera,3,2,"Developer, front-end","1,000 to 4,999 employees",I have little or no influence,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool,India,EUR European Euro,21600.0,HTML/CSS;JavaScript;Lua;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;Supabase,Firebase Realtime Database;MongoDB;PostgreSQL;Redis;Supabase,"Amazon Web Services (AWS);Linode, now Akamai;Netlify;Vercel","Amazon Web Services (AWS);Digital Ocean;Linode, now Akamai;Netlify;Vercel",CodeIgniter;Express;jQuery;Node.js;React;WordPress,CodeIgniter;Django;Express;Next.js;Node.js;React;Svelte;Symfony;WordPress,NumPy,NumPy;Pandas,Docker;npm;Vite;Webpack;Yarn,Docker;npm;Vite;Webpack;Yarn,Android Studio;Atom;CLion;Code::Blocks;Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;Notepad++;PhpStorm;PyCharm;Spyder;Sublime Text;Vim;Visual Studio Code,Nano;PhpStorm;PyCharm;Sublime Text;Vim;Visual Studio Code,Debian;Windows,Fedora;Windows,Asana;Clickup;Jira;Notion,Clickup;Jira;Notion,Discord;Google Chat;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Microsoft Teams;Slack,Bing AI;ChatGPT,ChatGPT,Mintlify;Tabnine,Mintlify;Tabnine,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, definitely",What would be the difference b/w tools like ChatGPT & StackOverflow? If it still requires human interaction then maybe,"No, and I don't plan to",,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,23131.0
1186,1187,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,Udemy;Coursera,19,19,Data scientist or machine learning specialist,"10,000 or more employees",I have a great deal of influence,Investigate,Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,4400000.0,Java;JavaScript;PHP;Python,Python,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL,BigQuery;Dynamodb,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Angular;AngularJS;Express;jQuery;Node.js;Spring Boot,Django,Apache Kafka;Apache Spark;Hadoop;Keras;NumPy;Pandas;Scikit-Learn;Spring Framework;TensorFlow,Apache Spark;Hadoop;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Gradle;Maven (build tool);Pip,Pip,Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,MacOS;Ubuntu;Windows,ChromeOS;MacOS;Ubuntu,Jira;Miro,Jira,Cisco Webex Teams,Cisco Webex Teams,,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",AI can help to find spam or vandalism.,Yes,Favorable,Improve collaboration,Somewhat trust,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,Project planning,,,,,,Yes,Individual contributor,19.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,3-5 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too long,Easy,53314.0
